segment,human_ref,ref_words,Model H_std_wer,Model H_lat_wer,Model H_improvement,Model i_std_wer,Model i_lat_wer,Model i_improvement,Model k_std_wer,Model k_lat_wer,Model k_improvement,Model l_std_wer,Model l_lat_wer,Model l_improvement,Model m_std_wer,Model m_lat_wer,Model m_improvement,Model n_std_wer,Model n_lat_wer,Model n_improvement
1,वही अपना खेती बाड़ी और क्या,6,0.0,0.0,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.1667,0.1666,0.0,0.0,0.0
2,मौनता का अर्थ क्या होता है,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.6667,0.3333,0.1667,0.1666,1.0,0.1667,0.8333,0.3333,0.0,0.3333
3,और रक्षाबंधन पे चलो बहनों को,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.1667,0.1666,0.3333,0.1667,0.1666
4,एक सिंपल और सादा वे में,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.1667,0.1666,0.0,0.0,0.0,0.0,0.0,0.0
5,आने वाली चुनौतियों  का इंतजार करना,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,अचानक आई मुश्किलों का सामना करना,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,0.0,0.8333,0.1667,0.1667,-0.0
7,सर आपकी इच्छा जय सियाराम,5,0.4,0.2,0.2,0.0,0.0,0.0,0.4,0.2,0.2,0.4,0.2,0.2,0.4,0.0,0.4,0.4,0.2,0.2
8,जी फीडबैक मिलने  पर सुधार करना,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.1667,0.1667,-0.0
9,जो एक महत्वपूर्ण भूमिका निभाते हैं,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0
10,जीवन की चुनौतियों का सामना करना,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,हम्म बहुत प्योर हार्ट रहता है सबका,7,0.1429,0.1429,-0.0,0.0,0.0,0.0,0.1429,0.1429,-0.0,0.2857,0.1429,0.1428,0.2857,0.1429,0.1428,0.1429,0.1429,-0.0
12,पूजा और प्रार्थना में  शामिल होना,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0
13,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी...,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1163,0.0,0.1163,0.1163,0.0233,0.093,0.0233,0.0233,-0.0
14,जी ऐसा ना हो कि उन्होंने टाइट कपड़े पहन लिए बाद में दौड़ भी ...,43,0.093,0.0465,0.0465,0.0,0.0,0.0,0.0465,0.0,0.0465,0.1163,0.0,0.1163,0.1628,0.0233,0.1395,0.1395,0.0233,0.1162
15,पहले सब्ज़ी मार्केट तक जाना था सब ऐसे ही जाते थे कौन सा वही ...,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.027,0.0811,0.0,0.0811,0.027,0.0,0.027
16,जब जैसे जैसे समझदारी आती है कि हम उनके साथ कैसा बिहेव किए उस...,22,0.0455,0.0,0.0455,0.0,0.0,0.0,0.0455,0.0,0.0455,0.1364,0.0,0.1364,0.1818,0.0,0.1818,0.0909,0.0,0.0909
17,बंद हो जाता है तो इन सब से इन सब का एक ही उपाय होता है कई अन...,45,0.0222,0.0,0.0222,0.0,0.0,0.0,0.0889,0.0444,0.0445,0.1333,0.0444,0.0889,0.1111,0.0444,0.0667,0.0889,0.0444,0.0445
18,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं ...,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.0444,0.0223,0.0,0.0,0.0,0.1556,0.0667,0.0889,0.0889,0.0222,0.0667
19,विविधता और  कीमत के मामले में बाजारों की तुलना मोल से करना।,12,0.0833,0.0833,0.0,0.0,0.0,0.0,0.1667,0.0833,0.0834,0.1667,0.0833,0.0834,0.1667,0.0,0.1667,0.0,0.0,0.0
20,हाँ और यहाँ पर सारी सुविधा है पार्किंग के लिए भी अलग से उन्ह...,23,0.0,0.0,0.0,0.0,0.0,0.0,0.2609,0.0435,0.2174,0.1304,0.0435,0.0869,0.2174,0.0435,0.1739,0.1304,0.0,0.1304
21,बाहर का वो जैसे कि आने जाने में जो स्ट्रगल रहा कि वहाँ पे जै...,41,0.0244,0.0244,-0.0,0.0,0.0,0.0,0.0488,0.0,0.0488,0.0488,0.0,0.0488,0.1707,0.0488,0.1219,0.1707,0.0,0.1707
22,और या फिर मुस्कुरा कर कह दो कि हाँ नानी आप तो अगले महीने अब ...,40,0.025,0.0,0.025,0.0,0.0,0.0,0.075,0.0,0.075,0.05,0.0,0.05,0.25,0.075,0.175,0.2,0.025,0.175
23,अच्छा चलिए अच्छा हुआ आपने ये सारी इंफॉर्मेशन मुझे बता दी कि ...,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.0,0.0588,0.0588,0.0,0.0588,0.2353,0.0,0.2353,0.2353,0.0,0.2353
24,और एक तो मतलब बारहवीं पास होने के बाद ना आप इतने होशियार भी ...,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.0,0.0588,0.1176,0.0588,0.0588,0.0588,0.0,0.0588,0.0,0.0,0.0
25,दूसरी जाति में तो शादी होती ही नहीं है राजस्थान में बहुत बवा...,18,0.0556,0.0556,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,0.1111,0.1111,0.0,0.1111,0.1111,0.1111,0.0
26,तो वो क्या फिर जीवाणु फिर वो क्या है उनमें जीव नहीं होता क्य...,17,0.1176,0.0,0.1176,0.0,0.0,0.0,0.0,0.0,0.0,0.1176,0.1176,0.0,0.1765,0.1176,0.0589,0.0588,0.0,0.0588
27,तो एक भारतीय होने के नाते मुझे लगता है इतनी तो इंसानियत सब म...,16,0.125,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
28,लाइक रविवार को कॉलेज की भी छुट्टी रहती है तो मैं भी उस दिन स...,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.0,0.0588,0.1176,0.0,0.1176,0.0588,0.0,0.0588,0.1176,0.0,0.1176
29,तकनीकी युग में क्यों टिके हुए हैं,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714,0.0,0.5714,0.4286,0.0,0.4286,0.2857,0.0,0.2857
30,प्रयागराज अभी कुंभ मेला लगा था। ना,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.2857,0.2857,0.1429,0.1428
31,आपका दिन शुभ हो धन्यवाद शुभ रात्रि,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.1429,0.1428,0.4286,0.0,0.4286,0.0,0.0,0.0
32,पहाड़ी इलाकों या समुंदर किनारे जैसे बेहतरीन घरों के बारे में...,14,0.0714,0.0,0.0714,0.0714,0.0,0.0714,0.1429,0.0,0.1429,0.0714,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,0.0
33,दिखाओ वाकई वाकई सही बोल रहे हो,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.1429,0.0,0.0,0.0
34,तो भारत तो एक खुद से ही गिफ्टेड लैंड है तो हमें इसको एक्सप्ल...,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,जी उसके बाद भी भाई दूज वगैरह होता है उसमें भी रिश्तेदार आते ...,18,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,0.1111,0.1111,0.0,0.1111,0.1667,0.0,0.1667,0.1111,0.0,0.1111
36,कौन सी एक पहचान स्वाद या ध्वनि तुरंत आपको बचपन की यादों में ...,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.0,0.0556,0.0556,0.0556,-0.0,0.1111,0.0,0.1111,0.0556,0.0,0.0556
37,मेरे भाई बहनों के साथ मैं खेलता था हम एक चबूतरे पर बैठे रहते...,17,0.2353,0.0588,0.1765,0.0,0.0,0.0,0.6471,0.6471,-0.0,0.1176,0.0,0.1176,0.0588,0.0,0.0588,0.0,0.0,0.0
38,क्योंकि मूंग की दाल पौष्टिक रहती है तो खाने की बोलते हैं तो ...,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.027,0.0811,0.0,0.0811,0.1081,0.0,0.1081
39,शहरी जीवन बीमा बनाम छोटे शहर का जीवन आपके शहर या कस्बे के मा...,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.0,0.0526,0.0526,0.0,0.0526
40,हाँ नहीं तो पहले डेस्कटॉप था ना बाद में लैपटॉप आया लैपटॉप ने...,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1053,0.0,0.1053,0.0526,0.0,0.0526,0.1579,0.0,0.1579
41,अब इसमें लिखा है आपकी मदद करने की प्रवृत्ति को सबसे ज़्यादा ...,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1053,0.0,0.1053,0.1053,0.0,0.1053,0.0,0.0,0.0
42,मुझे म्यूजिक सुनना पसंद है गाना भी पसंद है एक्चुअली और डांसि...,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.0,0.0526,0.0,0.0,0.0
43,वहाँ पर बहुत रंग बिरंगी फूल रहता है झूला रहता है वहाँ पर बहु...,19,0.0,0.0,0.0,0.0,0.0,0.0,0.1053,0.0,0.1053,0.0,0.0,0.0,0.2105,0.0,0.2105,0.2105,0.0,0.2105
44,एक मेरा काम नहीं है निकलवाना लेकिन मेरे पास पता चला मुझे,12,0.0833,0.0,0.0833,0.0,0.0,0.0,0.0833,0.0,0.0833,0.0,0.0,0.0,0.0833,0.0,0.0833,0.1667,0.0,0.1667
45,चलो भगवान ने बचा लिया कुछ बड़ा नहीं हुआ चलो इतने से ही मतलब ...,24,0.0,0.0,0.0,0.0417,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0417,0.0416,0.125,0.0,0.125
46,मेहनत तो कहीं व्यर्थ नहीं जाता है देर से ही आता है,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0833,0.0,0.0833
