reference,ft_prediction,utt_wer
मुझे यह काम करना है,मुझे यह काम करना,0.20
हम वहां गए थे,हम वहाँ गये थे,0.25
जंगल का सफर होता है,जंगल का सफर होता,0.20
वो लोग उठाने के लिए आए थे,वो लोग उठाने आए थे,0.25
हमारा प्रोजेक्ट भी था,हमारा प्रोजेक्ट था,0.33
खांड जनजाति पाए जाती है,खंड जनजाति पाई जाती है,0.50
कुड़रमा घाटी तरफ,कुरमा घाटी तरफ,0.33
अजीब सा आवाज आने लगा,अजीब सी आवाज आने लगा,0.25
डर तो इतना लगा था,डर तो इतना लगा,0.20
टेंट गड़ा और रहा,tent गड़ा और रहा,0.33
हम अकेली बैठे थे,हम अकेले बैठे थे,0.25
सुबह दस बज गया था,सुबह दस बजे थे,0.33
वो अपनी भाषा में बात कर रहे थे,वो अपनी भाषा में बात कर रहे,0.14
पहले तो गिर गया था,पहले तो गिर गए थे,0.33
चलना नहीं आता न,चलना नहीं आता,0.25
बहुत सारे थे तो पता,बहुत सारे थे,0.33
रात को मतलब जैसे छः सात,रात को जैसे छः सात,0.25
उनको खतरा महसूस हो रहा था,उनको खतरा महसूस हो रहा,0.14
आग लहरा देना चाहिए,आग लगा देना चाहिए,0.50
रोड पे होता है न,रोड पे होता है,0.20
दुबारा हम घाटे तो नहीं जाएंगे,दुबारा हम नहीं जाएंगे,0.40
अमेजन का जंगल होता है,अमेजन का जंगन होता है,0.25
लाइट वगैरा लेकर जाने चाहिए,लाइट वगेरा लेकर जाने चाहिए,0.25
जहां डर रहेगा वहां मजा आएगा,जहाँ डर रहेगा वहाँ मजा आएगा,0.25
टेंट उखाड़ कर बाहर कर दिया,टेंट उखाड़ बाहर कर दिया,0.20